,Time,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Healthcare,Financials,IT,Telecom Services,Utilities,Energy.1,Materials.1,Industrials.1,Consumer Discretionary.1,Consumer Staples.1,Healthcare.1,Financials.1,IT.1,Telecom Services.1,Utilities.1,Energy.2,Materials.2,Industrials.2,Consumer Discretionary.2,Consumer Staples.2,Healthcare.2,Financials.2,IT.2,Telecom Services.2,Utilities.2,Energy.3,Materials.3,Industrials.3,Consumer Discretionary.3,Consumer Staples.3,Healthcare.3,Financials.3,IT.3,Telecom Services.3,Utilities.3,Energy.4,Materials.4,Industrials.4,Consumer Discretionary.4,Consumer Staples.4,Healthcare.4,Financials.4,IT.4,Telecom Services.4,Utilities.4,Energy.5,Materials.5,Industrials.5,Consumer Discretionary.5,Consumer Staples.5,Healthcare.5,Financials.5,IT.5,Telecom Services.5,Utilities.5
0,2013-03-06,9.8,7.4,6.35,8.78,16.28,17.61,6.36,9.57,3.95,6.23,568282798.0,4304633695.0,4980911084.0,3241461534.0,1473932622.0,1360680120.0,4860818103.0,3268161551.0,164748666.0,1522381733.0,13.88,59.9,21.16,20.04,24.24,40.93,8.47,49.64,39.88,24.6,1.67,2.01,1.83,2.31,3.78,4.25,1.46,3.0,1.2,1.99,0.62,0.95,0.89,0.85,1.59,3.78,2.04,2.37,0.32,1.47,12.22,37.6,-15.53,32.18,36.54,247.2,-9.97,-15.39,-5.76,15.55
1,2013-03-07,9.81,7.39,6.29,8.69,16.32,17.17,6.26,9.4,3.9,6.18,884777322.0,4257173230.0,5014409482.0,2900064076.0,1595653639.0,1267399599.0,4579658075.0,2999471147.0,144938033.0,1570504972.0,13.9,59.85,20.96,19.79,24.26,39.92,8.33,48.69,39.4,24.28,1.67,2.0,1.81,2.28,3.78,4.15,1.44,2.94,1.19,1.97,0.63,0.95,0.88,0.84,1.6,3.69,2.01,2.32,0.31,1.45,12.23,37.49,-15.38,31.78,36.58,241.1,-9.8,-15.1,-5.69,15.35
2,2013-03-08,9.83,7.34,6.25,8.68,16.14,16.95,6.24,9.28,3.88,6.13,685652288.0,3252618856.0,3507524154.0,2041375274.0,1016652006.0,883441051.0,3106816939.0,1901760621.0,104685528.0,1022100483.0,13.97,59.57,20.82,19.78,23.98,39.35,8.31,48.02,39.16,24.19,1.67,1.99,1.8,2.28,3.74,4.09,1.44,2.9,1.18,1.95,0.63,0.94,0.87,0.84,1.58,3.63,2.01,2.29,0.31,1.45,12.26,37.31,-15.27,31.78,36.15,237.62,-9.79,-14.89,-5.66,15.29
3,2013-03-11,9.79,7.32,6.25,8.66,16.06,16.99,6.21,9.3,3.85,6.13,500311099.0,2810034347.0,3098763173.0,1842674411.0,829139166.0,672841124.0,2586465727.0,1504664667.0,79722160.0,893245683.0,13.91,60.21,20.83,19.74,23.86,39.54,8.27,48.11,38.84,24.18,1.67,1.99,1.8,2.27,3.72,4.11,1.43,2.91,1.17,1.95,0.62,0.94,0.87,0.84,1.57,3.65,1.99,2.3,0.31,1.45,12.22,37.26,-15.28,31.75,35.97,238.89,-9.74,-14.92,-5.61,15.28
4,2013-03-12,9.82,7.2,6.13,8.49,15.75,16.5,6.15,9.0,3.81,6.1,766260360.0,3631079068.0,4425316488.0,2484743213.0,1198683316.0,978750015.0,3605449886.0,2004434895.0,120410945.0,1231860104.0,13.94,59.2,20.4,19.3,23.36,38.3,8.2,46.79,38.4,23.4,1.67,1.96,1.76,2.22,3.64,3.99,1.42,2.8,1.16,1.95,0.63,0.93,0.86,0.82,1.54,3.54,1.98,2.22,0.3,1.44,12.25,36.66,-14.98,31.02,35.21,231.47,-9.66,-14.4,-5.55,15.23
5,2013-03-13,9.76,7.17,6.04,8.35,15.67,16.3,6.09,8.91,3.74,6.02,640199056.0,2929814953.0,3402463817.0,1850638404.0,875627254.0,649599002.0,2829540891.0,1395557085.0,96957470.0,795842632.0,13.86,59.03,20.08,19.04,23.21,37.6,8.13,46.37,37.77,23.12,1.66,1.95,1.74,2.19,3.62,3.95,1.41,2.78,1.14,1.93,0.62,0.93,0.84,0.81,1.53,3.51,1.96,2.2,0.3,1.42,12.18,36.55,-14.75,30.6,34.98,229.77,-9.58,-14.27,-5.46,15.05
6,2013-03-14,9.78,7.14,6.05,8.4,15.56,16.57,6.11,9.0,3.75,6.01,640412357.0,2389669221.0,2809229691.0,1581953960.0,719530621.0,622669015.0,2591725156.0,1260572574.0,61461173.0,642333626.0,13.92,58.5,20.12,19.19,23.07,38.18,8.17,46.77,37.82,23.06,1.67,1.94,1.74,2.21,3.59,4.01,1.41,2.81,1.14,1.92,0.63,0.92,0.84,0.82,1.52,3.57,1.97,2.22,0.3,1.42,12.23,36.37,-14.78,30.84,34.75,233.26,-9.62,-14.41,-5.47,15.01
7,2013-03-15,9.83,7.12,6.09,8.41,15.49,16.71,6.13,9.08,3.79,6.03,649895337.0,3122209936.0,3892192904.0,2069662943.0,884216115.0,803696052.0,4479590221.0,1733490029.0,118862235.0,968385239.0,13.97,58.63,20.28,19.21,23.01,38.46,8.23,47.4,38.18,23.01,1.67,1.94,1.75,2.21,3.58,4.04,1.42,2.83,1.15,1.93,0.63,0.92,0.85,0.82,1.51,3.6,1.98,2.24,0.3,1.43,12.28,36.26,-14.89,30.87,34.64,235.16,-9.68,-14.54,-5.52,15.08
8,2013-03-18,9.65,6.98,5.98,8.32,15.18,16.58,6.03,9.03,3.73,6.06,587534739.0,2807323498.0,3200317949.0,1790666998.0,825158163.0,771732992.0,3030646824.0,1293643014.0,79431916.0,1002636664.0,13.7,57.0,19.89,18.98,22.59,38.31,8.07,46.88,37.08,23.09,1.65,1.9,1.72,2.19,3.51,4.02,1.39,2.81,1.13,1.94,0.62,0.9,0.84,0.81,1.48,3.57,1.94,2.22,0.3,1.43,12.07,35.52,-14.61,30.51,34.02,233.58,-9.5,-14.44,-5.43,15.14
9,2013-03-19,9.74,7.02,6.01,8.35,15.07,16.43,6.1,9.03,3.74,6.14,517353456.0,2576971921.0,2982542047.0,1615639351.0,752523992.0,772919046.0,3242511359.0,1325135076.0,83554220.0,959486526.0,13.85,57.25,19.97,19.01,22.45,37.85,8.15,47.35,37.18,23.45,1.66,1.91,1.73,2.19,3.49,3.97,1.41,2.81,1.14,1.97,0.62,0.91,0.84,0.81,1.47,3.54,1.97,2.23,0.3,1.45,12.19,35.8,-14.68,30.56,33.8,231.55,-9.6,-14.46,-5.45,15.35
