0,ipo_date,ipo_price,ipo_amount,industry_pe,ipo_expense,ipo_subbydistr,undrtype,ipo_leadundr,ipo_auditor,ipo_date_pct,ipo_pct_5,ipo_pct_10,ipo_pct_15,ipo_pct_20,pe_ttm,pb_lf,ps_ttm,pcf_of
600000.SH,1999-11-10,10,400000000,0,44963575.05,0,余额包销,海通证券有限公司,大华会计师事务所有限公司,177.5,-2.054054022,-4.756756783,-4.144144058,-8,0,0,0,0
600004.SH,2003-04-28,5.88,400000000,0,69364000,4157064,余额包销,中国国际金融有限公司,广东正中珠江会计师事务所,48.80952381,-4.571428776,-1.714285731,3.08571434,5.942857265,0,0,0,0
600005.SH,1999-08-03,4.3,320000000,0,26948399.5,0,余额包销,光大证券有限责任公司,安永华明会计师事务所,13.02325581,14.60905361,13.99176979,10.69958878,13.78600788,0,0,0,0
600006.SH,1999-07-27,5.1,300000000,0,28572337.5,0,余额包销,君安证券有限责任公司,中洲会计师事务所,31.37254902,-0.298507452,1.791044831,1.044776082,1.49253726,0,0,0,0
600007.SH,1999-03-12,5.46,160000000,0,19360000,0,余额包销,中国国际金融有限公司,中信永道会计师事务所,7.142857143,13.33333302,8.717948914,8.20512867,8.376068115,0,0,0,0
600008.SH,2000-04-27,8.98,300000000,0,23028700,0,余额包销,中国南方证券有限公司,北京京都会计师事务所有限责任公司,93.98663697,13.66245651,15.32721043,19.40298462,15.38461494,0,0,0,0
600009.SH,1998-02-18,6.41,300000000,0,22300000,0,余额包销,国泰证券有限公司,大华会计师事务所,41.18564743,-1.104972363,2.983425379,2.320441961,6.850828648,0,0,0,0
600010.SH,2001-03-09,5.18,350000000,0,56000000,0,余额包销,华夏证券有限公司,内蒙古国正会计师事务所,23.55212355,2.34375,2.96875,3.4375,4.53125,0,0,0,0
600011.SH,2001-12-06,7.95,350000000,0,35820000,0,余额包销,国泰君安证券股份有限公司,安达信·华强会计师事务所,71.57232704,-1.906158328,-8.35777092,-8.35777092,-10.92375374,0,0,0,0
600012.SH,2003-01-07,2.2,250000000,0,23040005.32,2724771,余额包销,国泰君安证券股份有限公司,普华永道中天会计师事务所有限公司,96.81818182,22.63279533,17.78290939,22.40184784,25.40415764,0,0,0,0
600015.SH,2003-09-12,5.6,1000000000,0,162040700,6270985,余额包销,"南方证券股份有限公司,中银国际证券有限责任公司",安永会计师事务所,27.67857143,1.538461566,0.83916086,1.958041906,0.139860138,0,0,0,0
600016.SH,2000-12-19,11.8,350000000,0,41255000,0,余额包销,海通证券有限公司,天健会计师事务所有限公司,57.28813559,-6.681034565,-6.788793087,-8.243534088,-7.381465435,0,0,0,0
600017.SH,2006-10-17,4.7,230000000,0,39007500,46,余额包销,招商证券股份有限公司,深圳南方民和会计师事务所有限责任公司,37.23404255,2.635658979,11.78294563,9.147286415,5.271317959,0,0,0,0
600018.SH,2006-10-26,3.67,2421710550,0,0,0,余额包销,国泰君安证券股份有限公司,安永大华会计师事务所有限责任公司,3.269754768,15.8311348,12.92875957,9.762533188,27.1767807,0,0,0,0
600019.SH,2000-12-12,4.18,1877000000,0,142965324,0,余额包销,中国国际金融有限公司,安永华明会计师事务所,45.6937799,-12.15106773,-12.64367771,-6.075533867,-4.597701073,0,0,0,0
600020.SH,2003-08-08,6.36,280000000,0,53261865.8,2737372,余额包销,中信证券股份有限公司,厦门健华天有限责任会计师事务所,19.81132075,0.787401557,3.674540758,4.461942196,2.887139082,0,0,0,0
600021.SH,2003-10-29,5.8,240000000,0,38612000,2504360,余额包销,国泰君安证券股份有限公司,华证会计师事务所有限公司,49.48275862,5.190311432,2.5374856,0.922722042,7.2664361,0,0,0,0
600022.SH,2004-06-29,6.36,220000000,0,49897334.22,6714540,余额包销,南方证券股份有限公司,信水中和会计师事务所有限责任公司,0.157232704,2.197802305,-1.098901153,0.784929335,-3.296703339,0,0,0,0
600023.SH,2013-12-19,5.53,1072092605,0,59000000,0,余额包销,中国国际金融有限公司,天健会计师事务所(特殊普通合伙),60.57866184,-18.80630684,-24.21171188,-27.92792702,-30.74324417,23.11868477,2.431050539,5900.623535,8.916678429
600026.SH,2002-05-23,2.36,350000000,0,27296000,0,余额包销,中国国际金融有限公司,上海众华沪银会计师事务所,88.13559322,-2.927927971,-1.576576591,-1.12612617,0.225225225,0,0,0,0
600027.SH,2005-02-03,2.52,765000000,0,41249900,7671732,余额包销,中国国际金融有限公司,毕马威华振会计师事务所,78.96825397,-14.63414669,-9.312638283,-12.19512177,-13.74722862,0,0,0,0
600028.SH,2001-08-08,4.22,2800000000,0,239915800,0,余额包销,中国国际金融有限公司,毕马威华振会计师事务所,3.317535545,-2.06422019,-5.045871735,-8.944953918,-8.715596199,0,0,0,0
600029.SH,2003-07-25,2.7,1000000000,0,59232819.79,10283691,余额包销,中国银河证券有限责任公司,毕马威华振会计师事务所,43.7037037,3.608247519,1.030927777,0,3.608247519,0,0,0,0
600030.SH,2003-01-06,4.5,400000000,0,40326625,2519180,余额包销,广发证券股份有限公司,安永会计师事务所,11.33333333,25.74850273,36.12774277,38.92215729,39.12175751,0,0,0,0
600031.SH,2003-07-03,15.56,60000000,0,33705600,613134,余额包销,湘财证券有限责任公司,利安达信隆会计师事务所,36.88946015,6.338027954,17.98122025,20.23474121,14.83568096,0,0,0,0
600033.SH,2001-02-09,6.66,200000000,0,35664000,0,余额包销,广发证券有限责任公司,厦门天健会计师事务所有限公司,32.88288288,-2.485875607,-5.310734272,-3.502824783,-3.615819216,0,0,0,0
600035.SH,2004-03-10,3,280000000,0,35020000,2007791,余额包销,长江证券有限责任公司,武汉众环会计师事务所有限责任公司,103,5.254515648,5.254515648,2.791461468,3.119868755,0,0,0,0
600036.SH,2002-04-09,7.3,1500000000,0,207110000,0,余额包销,中国国际金融有限公司,毕马威华振会计师事务所,46.02739726,-4.690431595,-6.191369534,-6.003752232,-11.06941795,0,0,0,0
600037.SH,2001-02-08,15.5,80000000,0,35000000,0,余额包销,华夏证券有限公司,北京京都会计师事务所有限责任公司,83.5483871,9.841827393,15.85237217,14.93848896,22.9876976,0,0,0,0
600038.SH,2000-12-18,7.85,60000000,0,15000000,0,余额包销,中国南方证券有限公司,岳华会计师事务所有限责任公司,139.3630573,4.896221161,5.215540409,6.226716518,0.532197952,0,0,0,0
600039.SH,2003-03-25,6.87,100000000,0,28973934,882082,余额包销,华夏证券股份有限公司,岳华会计师事务所有限责任公司,32.02328967,9.040793419,4.63065052,10.36383724,13.00992298,0,0,0,0
600048.SH,2006-07-31,13.95,150000000,0,73940000,0,余额包销,中信证券股份有限公司,深圳大华天诚会计师事务所,44.87455197,12.46907425,17.71400261,16.18010902,30.62840271,0,0,0,0
600050.SH,2002-10-09,2.3,5000000000,0,239320000,61647775,余额包销,中国国际金融有限公司,普华永道中天会计师事务所有限公司,24.7826087,4.181184769,5.923345089,3.135888577,6.620209217,0,0,0,0
600051.SH,1997-04-10,11.78,30000000,0,9420000,0,余额包销,君安证券有限公司,大华会计师事务所,162.9881154,16.04260826,30.01936722,20.56165314,20.10974884,0,0,0,0
600052.SH,1997-04-15,5.7,35000000,0,7000000,0,余额包销,广发证券有限责任公司,蜀都会计师事务所,236.4912281,-6.152241707,21.22002029,17.83107376,21.37643433,0,0,0,0
600053.SH,1997-04-18,5.6,45000000,0,10800000,0,余额包销,华夏证券有限公司,南昌会计师事务所,136.7857143,53.77074051,70.73906708,59.87933731,45.77677155,0,0,0,0
600054.SH,1997-05-06,6.02,40000000,0,9965858.67,0,余额包销,安徽省证券公司,0,256.1461794,-11.84701538,-16.97761154,-23.27425385,-21.9682827,0,0,0,0
600055.SH,1997-05-19,8.54,15000000,0,4800000,0,余额包销,广发证券有限责任公司,北京兴华会计师事务所,165.3395785,-16.59311485,-6.178287506,-13.72462463,-17.07855225,0,0,0,0
600056.SH,1997-05-15,7.02,30000000,0,8610000,0,余额包销,中国南方证券有限公司,中信会计师事务所,213.3903134,-21.04545403,-18.18181801,-11,-25,0,0,0,0
600057.SH,1997-06-04,4.43,40000000,0,6000000,0,余额包销,厦门证券公司,0,334.537246,-26.96103859,-32,-35.01298523,-41.92207718,0,0,0,0
600058.SH,1997-05-28,8.52,75000000,0,15000000,0,余额包销,中信证券有限责任公司,中洲会计师事务所,123.2394366,1.787592053,-16.5615139,-19.82124138,-15.50998974,0,0,0,0
600059.SH,1997-05-16,8.84,35000000,0,9450000,0,余额包销,中信证券有限责任公司,浙江会计师事务所,194.1176471,10,13.84615421,11.34615421,8.07692337,0,0,0,0
